ticker,month,stratum,H_fund,dir_fund,H_avg,price,ret_next,momentum,H_sent,dir_sent,sf_conflict,volatility,ln_price,D_sent,HxD
ABNB,2021-03,high,1.5426,undervalued,1.5426,187.94000244140625,-8.103647722515749,,,,,,5.236122775945268,0.0,
ABNB,2021-06,high,1.5426,undervalued,1.5426,153.13999938964844,-5.961868172391835,,,,,,5.031352531699398,0.0,
ABNB,2021-09,high,1.5426,undervalued,1.5426,167.75,1.7347264751769749,-0.3021081160783041,,,,,5.122474775851791,0.0,
ABNB,2021-12,high,1.5654,overvalued,1.561,166.49000549316406,-7.519973487522648,0.21552714445226728,1.5566,bearish,0.0,,5.114935280550719,-1.0,-1.5566
ABNB,2022-03,high,1.5426,undervalued,1.55885,171.75999450683594,-10.799946661753342,-0.006581097079229936,1.5751,bullish,0.0,0.2749353140762604,5.146098121588899,1.0,1.5751
ABNB,2022-06,high,1.5654,overvalued,1.37825,89.08000183105469,24.584644225101734,-0.11203191911691812,1.1911,bearish,0.0,0.32455984583433534,4.489534862944338,-1.0,-1.1911
ABNB,2022-09,high,1.5426,undervalued,1.52375,105.04000091552734,1.7802767805437076,-0.26741039452968063,1.5049,bearish,1.0,0.4638525975830249,4.654341238710528,-1.0,-1.5049
ABNB,2022-12,high,1.5426,undervalued,1.4283000000000001,85.5,29.953217088130486,-0.11549597722556038,1.314,bearish,1.0,0.45255599313788103,4.448516375942715,-1.0,-1.314
ABNB,2023-03,high,1.5718,overvalued,1.5686,124.4000015258789,-3.8022534557201046,-0.01776875961304014,1.5654,bullish,1.0,0.5828150723245739,4.823502192570986,1.0,1.5654
ABNB,2023-06,high,1.5718,overvalued,1.54405,128.16000366210938,18.74999851174424,0.17162716745691964,1.5163,bullish,1.0,0.5233574597483186,4.85327951189456,1.0,1.5163
ABNB,2023-09,high,1.5426,undervalued,1.5539999999999998,137.2100067138672,-13.789085979563387,0.23450684578498215,1.5654,bullish,0.0,0.4692639446614279,4.921512647864408,1.0,1.5654
ABNB,2023-12,high,1.5426,undervalued,1.55885,136.13999938964844,5.876303831251735,0.07761687649645288,1.5751,bullish,0.0,0.48458901716456804,4.913683763536541,1.0,1.5751
ABNB,2024-03,high,1.5426,undervalued,1.52945,164.9600067138672,-3.873665815698145,0.09570502505375944,1.5163,bullish,0.0,0.35427624282170755,5.10570306096862,1.0,1.5163
ABNB,2024-06,high,1.5426,undervalued,1.5633,151.6300048828125,-7.96017076801328,0.2551053658425826,1.584,bullish,0.0,0.35556011265856297,5.021443375015001,1.0,1.584
ABNB,2024-09,high,1.5426,undervalued,1.5461,126.80999755859375,6.292875862450696,-0.11373597207894515,1.5496,bearish,1.0,0.29696300659060226,4.842689883994334,-1.0,-1.5496
ABNB,2024-12,high,1.5654,overvalued,1.54805,131.41000366210938,,-0.06996480992262477,1.5307,bearish,0.0,0.26950865395651336,4.87832223452336,-1.0,-1.5307
ADSK,2005-03,high,1.5751,overvalued,1.5751,29.744659423828125,7.010806444828163,,,,,,3.3926496007114215,0.0,
ADSK,2005-06,high,1.5751,overvalued,1.5751,34.34000015258789,-0.43681282822476053,,,,,,3.536310859912774,0.0,
ADSK,2005-09,high,1.5751,overvalued,1.5751,46.439998626708984,-2.842376687894751,0.15099705550479703,,,,,3.8381611272583935,0.0,
ADSK,2005-12,high,1.5751,overvalued,1.5751,42.95000076293945,-5.494762673876252,0.1399696019337564,1.5751,bullish,1.0,,3.7600366661936975,1.0,1.5751
ADSK,2006-03,high,1.5751,overvalued,1.54,38.52000045776367,9.138111152473309,-0.06041667972817788,1.5049,bearish,0.0,0.40489286255593243,3.651177598813717,-1.0,-1.5049
ADSK,2006-06,high,1.5751,overvalued,1.42455,34.459999084472656,-1.0156659414387497,0.006463980244306944,1.274,bearish,0.0,0.36730856899063136,3.5397992045319553,-1.0,-1.274
ADSK,2006-09,high,1.5751,overvalued,1.53575,34.779998779296875,5.664178521696174,-0.09402392488866451,1.4964,bearish,0.0,0.21954458453232525,3.549042473828289,-1.0,-1.4964
